Serial_No,Constituency_ No.,Constituency_Name,Total_Electors,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percent_Valid_Votes,Percent_Total_Electors
1,1, GUMMIDIPOONDI ,254175,S.vijayakumar,MALE,56,GENERAL,TVK,Whistle,93820,500,94320,40.56,37.11
2,1, GUMMIDIPOONDI ,254175,Sudhakar.v,MALE,40,GENERAL,ADMK,Two leaves,65894,481,66375,28.55,26.11
3,1, GUMMIDIPOONDI ,254175,T.j.govindarajan,MALE,65,GENERAL,DMK,Rising sun,61922,570,62492,26.88,24.59
4,1, GUMMIDIPOONDI ,254175,"R.sridar. B.l.,",MALE,54,GENERAL,NTK,Carrying,4707,49,4756,2.05,1.87
6,1, GUMMIDIPOONDI ,254175,M.jagadeesan,MALE,34,SC,BSP,Elephant,695,2,697,0.3,0.27
7,1, GUMMIDIPOONDI ,254175,Sdk Sankar,MALE,46,GENERAL,AJPK,Gas cylinder,593,6,599,0.26,0.24
8,1, GUMMIDIPOONDI ,254175,G.ranjith B.sc.l.l.b,MALE,25,GENERAL,IND,Crane,502,1,503,0.22,0.2
10,1, GUMMIDIPOONDI ,254175,D.sudhakar,MALE,35,GENERAL,IND,Peas,319,2,321,0.14,0.13
11,1, GUMMIDIPOONDI ,254175,M.kumaran,MALE,44,GENERAL,IND,Diamond,260,0,260,0.11,0.1
12,1, GUMMIDIPOONDI ,254175,D.dinesh,MALE,42,GENERAL,IND,Road roller,222,0,222,0.1,0.09
13,1, GUMMIDIPOONDI ,254175,V.sudhakar,MALE,40,GENERAL,IND,Water melon,217,0,217,0.09,0.09
14,1, GUMMIDIPOONDI ,254175,T.govindan,MALE,43,GENERAL,IND,Ship,205,1,206,0.09,0.08
15,1, GUMMIDIPOONDI ,254175,Gopal.k,MALE,63,GENERAL,IND,Letter box,174,3,177,0.08,0.07
16,1, GUMMIDIPOONDI ,254175,A.h. Siva Ganesh,MALE,43,GENERAL,IND,Batsman,104,0,104,0.04,0.04
1,2, PONNERI (SC) ,251421,Dr.ravi.m.s,MALE,67,SC,TVK,Whistle,110051,388,110439,48.69,43.93
2,2, PONNERI (SC) ,251421,Durai Chandrasekar,MALE,53,SC,INC,Hand,54301,370,54671,24.1,21.74
3,2, PONNERI (SC) ,251421,Balaraman.p,MALE,64,SC,ADMK,Two leaves,51160,308,51468,22.69,20.47
4,2, PONNERI (SC) ,251421,Rajathi.m,FEMALE,34,SC,NTK,Carrying,6633,43,6676,2.94,2.66
6,2, PONNERI (SC) ,251421,Santhoshkumar.j,MALE,46,SC,BSP,Elephant,611,4,615,0.27,0.24
7,2, PONNERI (SC) ,251421,Malathi.s,FEMALE,28,SC,MMKA,Matchbox,371,0,371,0.16,0.15
9,2, PONNERI (SC) ,251421,Raja.s,MALE,46,SC,VBA,Gas cylinder,295,4,299,0.13,0.12
10,2, PONNERI (SC) ,251421,Rajasekar.j,MALE,36,SC,IND,Pen drive,288,1,289,0.13,0.11
11,2, PONNERI (SC) ,251421,Nagaiyan.g,MALE,48,SC,IND,Batsman,227,5,232,0.1,0.09
12,2, PONNERI (SC) ,251421,Venkatesan.s,MALE,43,SC,IND,Water melon,202,1,203,0.09,0.08
13,2, PONNERI (SC) ,251421,Kotteeswaran. K,MALE,44,SC,tavk,Camera,163,3,166,0.07,0.07
14,2, PONNERI (SC) ,251421,Barathiraja.k,MALE,39,SC,IND,Brush,155,4,159,0.07,0.06
