Party,Candidates_Contested,Candidates_Won,Candidates_FD,Votes Polled,Valid Votes,Valid Votes + NOTA,In Seats Contested
 AMGRDMK,3,0,3,295,0,0,0.04
 AMM,5,0,5,1197,0,0,0.11
 AMMKMNKZ,11,1,6,425345,0.0087,0.0086,18.34
 ANSMK,1,0,1,224,0,0,0.1
 APNP,1,0,1,55,0,0,0.03
 APTADMK,13,0,13,3034,0.0001,0.0001,0.1
 BHRTJNCKP,2,0,2,276,0,0,0.06
 BHUDRP,3,0,3,780,0,0,0.13
 BMK,1,0,1,183,0,0,0.09
 CPIM,3,0,3,790,0,0,0.12
 DJMK,1,0,1,486,0,0,0.11
 DMMK,2,0,2,278,0,0,0.08
 DMSK,11,0,11,2279,0,0,0.1
 DNA,3,0,3,311,0,0,0.05
 ETMK,4,0,4,802,0,0,0.09
 GPI,13,0,13,3235,0.0001,0.0001,0.12
 ICF,1,0,1,85,0,0,0.05
 IDMK,8,0,8,2112,0,0,0.12
 INDSRJP,1,0,1,224,0,0,0.09
 INKK,1,0,1,82,0,0,0.04
 INL,1,0,1,457,0,0,0.23
 JJ,2,0,2,586,0,0,0.1
 KDC,1,0,1,244,0,0,0.1
 MANAK,4,0,4,461,0,0,0.06
 MGRMKKT,1,0,1,131,0,0,0.08
 MKARSKTC,3,0,3,1008,0,0,0.16
 MKat,1,0,1,46,0,0,0.02
 MKKLMNTRK,2,0,2,305,0,0,0.08
 MMKA,7,0,7,998,0,0,0.07
 MMRSK,1,0,1,94,0,0,0.05
 MNK,2,0,2,285,0,0,0.07
 MNNMTHRGK,1,0,1,524,0,0,0.2
 MSK,2,0,2,424,0,0,0.1
 MSKK,1,0,1,149,0,0,0.06
 NADLMMKLK,22,0,22,9715,0.0002,0.0002,0.18
 NGPP,2,0,2,476,0,0,0.13
 NIDP,33,0,33,4474,0.0001,0.0001,0.06
 NJANP,1,0,1,588,0,0,0.23
 NKMK,1,0,1,200,0,0,0.1
 NMK,2,0,2,756,0,0,0.2
 NMSP,2,0,2,278,0,0,0.09
 NNNMNEK,4,0,4,1466,0,0,0.2
 OMNP,2,0,2,508,0,0,0.13
 PAMBDMK,1,0,1,274,0,0,0.13
 PFTROOBC,13,0,13,4101,0.0001,0.0001,0.14
 PMK,18,4,2,1070745,0.0218,0.0217,27.12
 PMTDK,12,0,12,2651,0.0001,0.0001,0.11
 PRJNTIP,1,0,1,291,0,0,0.12
 PSS,1,0,1,130,0,0,0.07
 PT,60,0,60,93652,0.0019,0.0019,0.76
 RPI,1,0,1,1692,0,0,0.81
 RPI(A),1,0,1,763,0,0,0.39
 RPPRINAT,16,0,16,11047,0.0002,0.0002,0.33
 RTSMJD,7,0,7,1760,0,0,0.12
 SAP,4,0,4,712,0,0,0.08
 SMKNK,25,0,25,5144,0.0001,0.0001,0.1
 SUCI,4,0,4,642,0,0,0.08
 tavk,164,0,164,74809,0.0015,0.0015,0.21
 TDMK,3,0,3,1109,0,0,0.18
 TK,15,0,15,2416,0,0,0.08
 tmc,1,0,1,186,0,0,0.11
 TMGMK,1,0,1,71,0,0,0.03
 TMK,8,0,8,2056,0,0,0.11
 TMMDK,1,0,1,319,0,0,0.16
 TMNK,8,0,8,1555,0,0,0.09
 TMZGADK,1,0,1,120,0,0,0.08
 TMZPRSUKTC,2,0,2,505,0,0,0.12
 TNLK,2,0,2,355,0,0,0.08
 TPMK,16,0,16,4020,0.0001,0.0001,0.12
 TTNP,4,0,4,642,0,0,0.09
 TVK,233,108,0,17226209,0.3507,0.3492,35.11
 VBA,4,0,4,1027,0,0,0.11
 VidVP,1,0,1,235,0,0,0.13
 VKK,1,0,1,211,0,0,0.12
 VKVIP,3,0,3,498,0,0,0.09
 VSHWTMLK,11,0,11,3576,0.0001,0.0001,0.15
 VTNMK,2,0,2,635,0,0,0.14
 VTVTK,26,0,26,5624,0.0001,0.0001,0.1
 IND,2209,0,2208,524744,0.0107,0.0106,1.07
